id_auditor_avalicao,request_id,user_id,evaluation,date,auditor_error_justification,comment
45,182585,167,True,2021-02-14,"decisão correta","análise bem fundamentada"
46,182586,168,False,2021-02-15,"avaliação falha","verificação necessária"
47,182587,169,True,2021-02-16,"justificativa forte","decisão justificada"
48,182588,170,False,2021-02-17,"erro de julgamento","análise insuficiente"
49,182589,171,True,2021-02-18,"decisão clara","comentário positivo"
50,182590,172,False,2021-02-19,"falta de clareza na decisão","precisa de revisão"
51,182591,173,True,2021-02-20,"justificativa bem fundamentada","análise forte"
52,182592,174,False,2021-02-21,"erro na análise dos itens","decisão errada"
53,182593,175,True,2021-02-22,"decisão correta conforme os critérios","justificativa válida"
54,182594,176,False,2021-02-23,"avaliação insuficiente","verificação necessária"
55,182595,177,True,2021-02-24,"justificativa adequada","decisão bem apresentada"
56,182596,178,False,2021-02-25,"falta de dados","análise inconsistente"
57,182597,179,True,2021-02-26,"decisão justificada","análise correta"
58,182598,180,False,2021-02-27,"erro de avaliação","precisa de revisão"
59,182599,181,True,2021-02-28,"justificativa sólida","análise forte"
60,182600,182,False,2021-03-01,"falta de clareza na decisão","decisão inconsistente"
61,182601,183,True,2021-03-02,"decisão baseada em critérios claros","comentário positivo"
62,182602,184,True,2021-03-03,"erro na verificação dos itens","precisa ser reavaliada"
63,182603,185,True,2021-03-04,"justificativa clara","decisão bem fundamentada"
64,182604,186,True,2021-03-05,"avaliação falha","decisão errada"
65,182605,187,True,2021-03-06,"decisão correta","análise bem feita"
66,182606,188,True,2021-03-07,"falta de evidências","verificação necessária"
67,182607,189,True,2021-03-08,"justificativa forte","decisão justificada"
68,182608,190,True,2021-03-09,"erro na avaliação","análise insuficiente"
69,182609,191,True,2021-03-10,"decisão bem fundamentada","comentário positivo"
70,182610,192,True,2021-03-11,"falta de clareza na decisão","decisão inconsistente"
71,182611,193,True,2021-03-12,"justificativa adequada","análise correta"
72,182612,194,True,2021-03-13,"erro de julgamento","precisa de revisão"
73,182613,195,True,2021-03-14,"decisão baseada em critérios","comentário forte"
74,182614,196,True,2021-03-15,"avaliação sem justificativa","decisão errada"
75,182615,197,True,2021-03-16,"justificativa clara","decisão sólida"
76,182616,198,False,2021-03-17,"erro na análise dos itens","decisão inconsistente"
77,182617,199,True,2021-03-18,"justificativa forte","análise correta"
78,182618,200,False,2021-03-19,"falta de dados relevantes","precisa ser reavaliada"
79,182619,201,True,2021-03-20,"decisão justificada","comentário positivo"
80,182620,202,False,2021-03-21,"falta de clareza na análise","decisão inconsistente"
81,182621,203,True,2021-03-22,"justificativa consistente","análise forte"
82,182622,204,False,2021-03-23,"erro na verificação dos itens","precisa de revisão"
83,182623,205,True,2021-03-24,"decisão correta","análise sólida"
84,182624,206,False,2021-03-25,"avaliação falha","decisão errada"
85,182625,207,True,2021-03-26,"justificativa clara","decisão justificada"
86,182626,208,False,2021-03-27,"falta de evidências","verificação necessária"
87,182627,209,True,2021-03-28,"decisão sólida","análise positiva"
88,182628,210,False,2021-03-29,"erro na avaliação","decisão inconsistente"
89,182629,211,True,2021-03-30,"justificativa forte","análise correta"
90,182630,212,False,2021-03-31,"falta de clareza na decisão","decisão errada"
91,182631,213,True,2021-04-01,"decisão bem fundamentada","comentário pertinente"
92,182632,214,False,2021-04-02,"avaliação insuficiente","decisão inconsistente"
93,182633,215,True,2021-04-03,"justificativa adequada","decisão correta"
94,182634,216,False,2021-04-04,"erro na análise dos itens","precisa de revisão"
95,182635,217,True,2021-04-05,"decisão correta","análise bem fundamentada"
96,182636,218,False,2021-04-06,"falta de dados","decisão errada"
97,182637,219,True,2021-04-07,"justificativa clara","análise sólida"
98,182638,220,False,2021-04-08,"erro na verificação","decisão inconsistível"
99,182639,221,True,2021-04-09,"decisão baseada em critérios claros","comentário positivo"
100,182640,222,False,2021-04-10,"avaliação sem justificativa","decisão errada"
