DS_ITEM	count
US - Obstétrica com translucência nucal	48
TESTES CUTANEOS-ALERGICOS - PRICK TEST (PACOTE)	47
Colesterol total - pesquisa e/ou dosagem	47
PCT HEMODERIVADOS - CGL	47
LENTE INTRAOCULAR IOFLEX FAIXA ESPEC.+5D A +9.50D/+31D A +35D REF.IOFLEX	46
CATETERISMO DE CAMARAS CARDIACAS DIREITAS E ESQUERDAS E CINEANGIOGRAFIA POR TONICA TRANSEPTAL	45
Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco)	44
Folículo estimulante, hormônio (FSH) - pesquisa e/ou dosagem	44
Triglicerídeos - pesquisa e/ou dosagem	44
DIÁRIA DE  QUARTO COLETIVO DE 2 LEITOS COM BANHEIRO PRIVATIVO	43
Colesterol (HDL) - pesquisa e/ou dosagem	43
Atendimento ao recém-nascido em berçário	43
Chikungunya, anticorpos	42
BUNDLE ENDOSCOPIA DIGESTIVA ALTA C/ OU SEM BIÓPSIA	41
Patologia osteomioarticular em dois ou mais membros	41
LENTE INTRA-OCULAR DOBRAVEL ALCON-ACRYSOF - REF. SA60AT	41
RX - Incidência adicional de membro inferior	40
Colocação ureteroscópica de duplo J unilateral	40
Procedimento diagnóstico em reação imunoistoquímica isolada	40
US - Obstétrica morfológica	38
Insulina - pesquisa e/ou dosagem	38
Doppler colorido de vasos cervicais venosos bilateral (subclávias e jugulares)	38
Cintilografia óssea (corpo total)	37
Procalcitonina - pesquisa e/ou dosagem	37
Angiotomografia arterial de crânio	37
RX - Articulação coxofemoral (quadril)	37
Opme - Codificação genérica	37
Holter de 24 horas - 3 canais - digital	36
Hemodiálise crônica (por sessão)	36
Endoscopia digestiva alta	36
Retirada endoscópica de duplo J	35
Mamografia digital bilateral	34
Transaminase oxalacética (amino transferase aspartato) - pesquisa e/ou dosagem	34
Estradiol - pesquisa e/ou dosagem	33
Coleta de material cérvico-vaginal	33
Testosterona livre - pesquisa e/ou dosagem	33
Transaminase pirúvica (amino transferase de alanina) - pesquisa e/ou dosagem	33
TC - Abdome superior	33
Eletroneuromiografia de MMSS	33
"Procedimento diagnóstico em biópsia simples ""imprint"" e ""cell block"""	32
Anticorpos antiendomisio - IgG, IgM, IgA (cada) - pesquisa e/ou dosagem	32
SARS-CoV-2 (CORONAVÍRUS COVID-19) - PESQUISA POR RT - PCR	32
US - Aparelho urinário (rins, ureteres e bexiga)	32
TC - Pelve ou bacia	32
SONDA DE FIBRA ÓPTICA PARA HOLMIUM LASER MAXIFLEX - EIC BRASIL EXPORTADORA DE PRODUTOS INDUSTRIALIZADOS LTDA	31
Hepatite B - HBSAG (AU, antígeno austrália) - pesquisa e/ou dosagem	31
TC - Articulação (esternoclavicular ou ombro ou cotovelo ou punho ou sacroilíacas ou coxofemoral ou joelho ou tornozelo) - unilateral	30
Ecodopplercardiograma fetal com mapeamento de fluxo em cores - por feto	30
Curetagem simples de lesões de pele (por grupo de até 5 lesões)	30
Rotina de urina (caracteres físicos, elementos anormais e sedimentoscopia)	30
Selênio, dosagem	29
Septoplastia (qualquer técnica sem vídeo)	29
RX - Articulação tibiotársica (tornozelo)	29
Eletroneuromiografia de MMII	29
TERAPIA ABA (APPLIED BEHAVIOR ANALYSIS) - AVALIAÇÃO	29
Colposcopia (cérvice uterina e vagina)	29
TROCATER ENDOPATH 11MM REF: D11LT	29
Hormônio luteinizante (LH) - pesquisa e/ou dosagem	28
Exame a fresco do conteúdo vaginal e cervical	28
Anestesia para exames de tomografia computadorizada 	28
HIV1+ HIV2, (determinação conjunta), pesquisa de anticorpos	28
Ácido úrico - pesquisa e/ou dosagem	28
Consulta individual ambulatorial, em terapia ocupacional	28
Capsulotomia YAG ou cirúrgica	28
ROCAMED ROCAWIRE PLATINUM - ALLENT COMÉRCIO, IMPORTAÇÃO E DISTRIBUIÇÃO DE MATERIAIS MÉDICOS LTDA. ? ME	27
TC - Angiotomografia coronariana	27
Consulta domiciliar de enfermagem	27
Prova de compatibilidade pré-transfusional completa - gel teste	27
Mapeamento de retina (oftalmoscopia indireta) - monocular	27
Cateterismo da artéria radial - para PAM	27
US - Obstétrica	26
ANASTROZOL - 1 MG COM REV CT BL AL PLAS INC X 30 - EUROFARMA LABORATÓRIOS S.A.	26
DIÁRIA DE  BERÇÁRIO NORMAL	26
Hemoglobina glicada (Fração A1c) - pesquisa e/ou dosagem	26
RM - Pé (antepé) - não inclui tornozelo	26
Consulta em domicílio	26
Sessão de psicomotricidade individual	26
Colecistectomia sem colangiografia por videolaparoscopia	26
Prolactina - pesquisa e/ou dosagem	26
Varizes - tratamento cirúrgico de dois membros	26
CATETER URETERAL DUPLO J SOFT - ALLENT COMÉRCIO, IMPORTAÇÃO E DISTRIBUIÇÃO DE MATERIAIS MÉDICOS LTDA. ? ME	26
BUNDLE MUCOSECTOMIA BAIXA	25
Colesterol (LDL) - pesquisa e/ou dosagem	25
US - Abdome superior (fígado, vias biliares, vesícula, pâncreas e baço)	24
Anestesia para procedimentos clínicos ambulatoriais e hospitalares	24
Sessão individual domiciliar de fonoaudiologia	24
Zinco - pesquisa e/ou dosagem	24
Tonometria - binocular	24
CLIP LT300 MEDIO / LARGO HORIZON VERDE - REF: 3200	24
Crioterapia (grupo de até 5 lesões)	23
SESSÃO INDIVIDUAL AMBULATORIAL DE FONOAUDIOLOGIA - MÉTODO PROMPT	23
Densitometria óssea - rotina: coluna e fêmur (ou dois segmentos)	23
Plástica em Z ou W	23
Antígeno específico prostático total (PSA) - pesquisa e/ou dosagem	23
RM - Mama (bilateral)	23
Vídeo-laringo-estroboscopia com endoscópio flexível	23
Herniorrafia umbilical	22
Dímero D - pesquisa e/ou dosagem	22
TESTES CUTÂNEOS DE CONTATO - PATCH TEST (PACOTE)	22
FIO GUIA HIDROFÍLICO ALLWIN - EIC BRASIL EXPORTADORA DE PRODUTOS INDUSTRIALIZADOS LTDA	22
LENTE INTRA-OCULAR - IOFLEX - MEDIPHACOS INDÚSTRIAS MÉDICAS S/A	22
Ureterorrenolitotripsia flexível a laser unilateral	21
ANGIOPLASTIA CARDÍACA	21
Potássio - pesquisa e/ou dosagem	21
Consulta em pronto socorro	21
CIMZIA - 200 MG/ML SOL INJ CT 2 SER VD INC PREENC X 1 ML + 2 LENÇOS UMEDECIDOS - UCB BIOPHARMA LTDA.	20
Cistoscopia e/ou uretroscopia	20
EXTRATOR DE CÁLCULOS ROCAMED ROCASTONE - ALLENT COMÉRCIO, IMPORTAÇÃO E DISTRIBUIÇÃO DE MATERIAIS MÉDICOS LTDA. ? ME	20
Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões)	20
RX - Patela	20
Cauterização química (por grupo de até 5 lesões)	20
IRRIGOPLAS 4 VIAS (SISTEMA DE FLUXO) REF: 27012	20
Histerossalpingografia	19
SPLIT NASAL ESTERIL REF. 5 X 10 CM	19
Postectomia	19
Cultura, urina com contagem de colônias	19
Criocirurgia (nitrogênio líquido) de neoplasias cutâneas	19
Adeno-amigdalectomia	19
Eletrencefalograma especial: terapia intensiva, morte encefálica, EEG prolongado (até 2 horas)	18
RX - Omoplata ou escápula	18
TESTES INTRADERMICOS (PACOTE)	18
Eletroneuromiografia de MMSS e MMII	18
Patologia osteomioarticular em diferentes segmentos da coluna	17
Alumínio, pesquisa e/ou dosagem no soro	17
Cortisol - pesquisa e/ou dosagem	17
Laringoscopia/traqueoscopia para diagnóstico e biópsia (tubo rígido)	17
Fotocoagulação (laser) - por sessão  - monocular	17
Desbridamento cirúrgico de feridas ou extremidades	17
Proteína C reativa, quantitativa - pesquisa e/ou dosagem	17
FAULDFLUOR - 50 MG/ML SOL INJ CT FA VD INC X 50 ML  - LIBBS FARMACÊUTICA LTDA	17
FAULDLEUCO - 10 MG/ML SOL INJ CT FA VD AMB X 30 ML - LIBBS FARMACÊUTICA LTDA	17
DIÁRIA DE ISOLAMENTO DE APARTAMENTO SIMPLES	17
DIÁRIA DE  ENFERMARIA COM ALOJAMENTO CONJUNTO COM BANHEIRO PRIVATIVO	17
Uréia - pesquisa e/ou dosagem	17
Ureterorrenolitotripsia rígida unilateral	17
Hemodepuração de casos agudos (sessão hemodiálise, hemofiltração, hemodiafiltração isolada, plasmaferese ou hemoperfusão) - até 4 horas ou fração	16
RM - Sela túrcica (hipófise)	16
ZOMETA - 4 MG SOL INJ 1 FR AMP PLAS INC X 5 ML + 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 100 ML - NOVARTIS BIOCIENCIAS S.A	16
Histeroscopia diagnóstica com biópsia	16
Consulta ambulatorial em fisioterapia	16
Gama-glutamil transferase - pesquisa e/ou dosagem	16
Sódio - pesquisa e/ou dosagem	16
Bloqueio de nervo periférico - bloqueios anestésicos de nervos e estímulos neurovasculares	16
CATETER VENOSO CENTRAL 3VIAS 7FR X 20CM - REF: CV-15703-E	16
KEYTRUDA - 100 MG/ 4 ML SOL INJ CT FA VD INC X 4 ML - MERCK SHARP & DOHME FARMACEUTICA LTDA	16
SESSÃO DE HEMODIÁLISE AMBULATORIAL POR CATETER	16
CITRATO DE TAMOXIFENO - 20 MG COM REV CT BL AL AL X 30 - EMS S/A	16
KIT DE LINHAS DE SANGUE PARA HEMODIALISE ARTERIAL SEM CATABOLHA + VENOSA (SEM REUSO) REF.	16
KYLEENA - 19,5 MG DIU CT EST PLAS PETG TRANS + APLIC - BAYER S.A.	16
Terapia imunobiológica intravenosa (por sessão) - ambulatorial	15
HIV - carga viral PCR - pesquisa	15
Eletroneuromiografia de segmento complementar	15
Vitamina B1, pesquisa e/ou dosagem	15
Doppler colorido de aorta e ilíacas	15
COTONOIDE 13 X 38MM REF. 801404	15
SURGICEL 10 X 20 CM - REF: 1952	15
LETROZOL - 2,5 MG COM REV CT BL AL PLAS INC X 30 - EUROFARMA LABORATÓRIOS S.A.	15
Elastografia hepática ultrassônica	15
Descompressão medular e/ou cauda equina	14
Colonoscopia (inclui a retossigmoidoscopia)	14
Prova de função pulmonar completa (ou espirometria)	14
Urodinâmica completa	14
Consulta Ambulatorial em psicologia	14
DIÁRIA DE ENFERMARIA DE PSIQUIATRIA	14
Amigdalectomia das palatinas	14
TC - Mastóides ou orelhas	14
RX - Articulação escapuloumeral (ombro)	14
Prova de compatibilidade pré-transfusional completa - em tubo	14
Vitamina B6, pesquisa e/ou dosagem	14
Artroplastia total de joelho com implantes - tratamento cirúrgico	14
ARTERIOGRAFIA CAROTIDA BILATERAL + SELETIVA VERTEBRAL BILATERAL (4 VASOS)	13
Biópsia percutânea de fragmento mamário por agulha grossa (core biopsy) orientada por US (não inclui o exame de imagem)	13
Angio-RM arterial de pescoço	13
Serotonina (sangue)	13
Angiografia transoperatória de posicionamento	13
Potencial de acuidade visual - monocular	13
Broncoscopia com ou sem aspirado ou lavado brônquico bilateral	13
DIÁRIA DE  APARTAMENTO SIMPLES	13
CAPILAR (DIALISADOR) ALTO FLUXO FX 80 CLASSIX	13
Hemorroidectomia aberta ou fechada, com ou sem esfincterotomia, sem grampeador	13
Coluna vertebral: infiltração foraminal ou facetária ou articular	12
Angiografia pós-operatória de controle	12
US - Obstétrica gestação múltipla com Doppler colorido: cada feto	12
TC - Segmento apendicular (braço ou antebraço ou mão ou coxa ou perna ou pé) - unilateral	12
PCR em tempo real para vírus influenza A e B	12
Angiotomografia arterial de tórax	12
Patologia osteomioarticular em um membro	12
Hepatite C - anti-HCV - pesquisa e/ou dosagem	12
Herniorrafia inguinal - unilateral	12
PCT - PET-CT (PET SCAN DEDICADO ONCOLOGICO) HOSP BASE	12
TROCA DE SONDA DE GASTROSTOSMIA	12
Tratamento microcirúrgico do canal vertebral estreito por segmento	12
Implante cirúrgico de cateter de longa permanência para NPP, QT ou para Hemodepuração	12
PCR em tempo real para vírus respiratório sincicial	12
Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc	12
Endoscopia digestiva alta com biópsia e/ou citologia	12
RX - Mão ou quirodáctilo	12
US - Abdome inferior feminino (bexiga, útero, ovário e anexos)	11
Sangria terapêutica	11
Cálcio - pesquisa e/ou dosagem	11
Hidro-RM (colângio-RM ou uro-RM ou mielo-RM ou sialo-RM ou cistografia por RM)	11
PCT - TURBI + ADENO-AMIGDA	11
Ferro sérico - pesquisa e/ou dosagem	11
Fator V de Leiden por PCR - pesquisa	11
Vitamina E - pesquisa e/ou dosagem	11
Bloqueio de nervo periférico - nervos periféricos	11
Angiografia por cateterismo seletivo de ramo primário - por vaso	11
TELA DE POLIPROPILENO ABDOTEX 7,5 X 15CM	11
LIGASURE MARYLAND JAW DIVISOR /SELADOR LAPAROSCOPICO NANO REVESTIDO 5 MM X 37 CM - REF. LF1937	11
DRENO DE SUCÇÃO 3,2 (ZAMMI) - REF. ZAMMIVAC 3.2MM ¿ 10 FR ¿ 1/8¿	11
Angiotomografia arterial de abdome superior	11
Procedimento diagnóstico em citopatologia cérvico-vaginal oncótica	11
HLA B27, fenotipagem	11
Ensaio para dosagem da liberação de interferon gama	11
SESSÃO DE HEMODIÁLISE AMBULATORIAL POR FAV	10
Creatino fosfoquinase total (CK) - pesquisa e/ou dosagem	10
Gastroplastia para obesidade mórbida por videolaparoscopia	10
US - Próstata transretal com biópsia - mais de 8 fragmentos	10
Hemossedimentação, (VHS) - pesquisa e/ou dosagem	10
Flebografia retrógrada por cateterismo - unilateral	10
Oximetria não invasiva	10
RX - Panorâmica dos membros inferiores	10
RM - Mão (não inclui punho)	10
Densitometria óssea - corpo inteiro (avaliação de massa óssea ou de composição corporal)	10
Marcação pré-cirúrgica por nódulo - máximo de 3 nódulos por mama, por US (não inclui exame de imagem)	10
Procedimento diagnóstico em peça anatômica ou cirúrgica simples	10
Cintilografia do miocárdio perfusão - estresse farmacológico	10
Unidade de concentrado de hemácias	10
RX - Coxa	10
Triiodotironina (T3) - pesquisa e/ou dosagem	10
US - Obstétrica: perfil biofísico fetal	10
US - Transvaginal para controle de ovulação (3 ou mais exames)	9
Ressecção de tumores palpebrais	9
FIO GUIA RADIFOCUS M - TERUMO MEDICAL DO BRASIL LTDA.	9
Antibiograma (teste de sensibilidade e antibióticos e quimioterápicos), por bactéria - não automatizado	9
Processamento auditivo central (a partir dos 7 anos e adulto)	9
Otoemissões evocadas transientes	9
Angiotomografia arterial de pelve	9
CIMENTO ORTOPEDICO C-MAXX 40GR 20ML - REF: 10100104020	9
Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo)	9
RX - Antebraço	9
CAMPO CIRURGICO OPSITE 55 X 45CM - REF: 4989	9
Angiografia por cateterismo não seletivo de grande vaso	9
Retirada cirúrgica de cateter de longa permanência para NPP, QT ou para Hemodepuração	9
Hemorróidas - ligadura elástica (por sessão)	9
Globulina de ligação de hormônios sexuais (SHBG) - pesquisa e/ou dosagem	9
KIT CATETER ARTERIAL RADIAL 20GAX05CM - REF: SAC-00520	9
CLORIDRATO DE DOXORRUBICINA - 50 MG PO LIOF SOL INJ CT 10 FA VD INC X 50 ML - EUROFARMA LABORATÓRIOS S.A.	9
Imunofixação - cada fração	9
Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas	9
Histeroscopia com ressectoscópio para polipectomia, metroplastia, endometrectomia e ressecção de sinéquias	9
Angiotomografia arterial de pescoço	9
SAC CATETER ARTERIAL TIPO SELDINGER 3 - EMERGO BRAZIL IMPORT IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS HOSPITALARES LTDA	9
TROCARTES CIRÚRGICOS ENDOPATH XCEL - D11LT - JOHNSON & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA	9
HIV1 ou HIV2, pesquisa de anticorpos	9
DIÁRIA COMPACTA DE APARTAMENTO SIMPLES	9
CAPECITABINA - 500 MG COM REV CT BL AL PVC OPC X 30 - SUN FARMACÊUTICA DO BRASIL LTDA	9
DIÁRIA DE  APARTAMENTO STANDARD	9
Sífilis - VDRL	9
KIT PULSE LAVAGEM SYSTEM OSRON IMP. REF: 2500D-DPL-ST01Z-CT02Z	9
HERCEPTIN - 440 MG PO LIOF CT FA VD INC + DIL FA VD INC X 20 ML  - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	8
SISTEMA DE TERAPIA V.A.C. - K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA	8
SESSÃO DE HEMODIÁLISE AMBULATORIAL, PACIENTE SOROLOGIA POSITIVA, POR FAV OU CATETER	8
Hérnia de disco tóraco-lombar - tratamento cirúrgico	8
RM - Ossos temporais bilateral	8
Polissonografia de noite inteira (PSG) (inclui polissonogramas)	8
Exérese tangencial (shaving) - (por grupo de até 5 lesões)	8
RX - Punho	8
Deleucotização de unidade de concentrado de hemácias - por unidade	8
Audiometria vocal - pesquisa de limiar de discriminação	8
TAXA FIBRA LASER DESCARTAVEL 200 - REF:MEDILAS H UROPULSE	8
Frenotomia lingual	8
ALÇA RESSECÇAO EM U 24 FR (2 POLOS) REF: 27040G	8
CONECTOR Y PARA ACTP SCW - EPTCA MEDICAL DEVICES LTDA.	8
Colonoscopia com biópsia e/ou citologia	8
Ptose palpebral - correção cirúrgica - unilateral	8
CLIPS DE TITANIO HORIZON - 3200 - EMERGO BRAZIL IMPORT IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS HOSPITALARES LTDA	8
ROCASTONE KOBOT TIPLESS-EXTRATOR DE CALCULOS - REF. ROSZ1940ST	8
Calprotectina, detecção nas fezes	8
NEO DECAPEPTYL LP - 11,25 MG PÓ LIOF SUS INJ LIB PROL CT FA VD TRANS + SOL DIL X 2 ML - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	8
Linfocintilografia	8
Cirurgia esterilizadora masculina	8
CATETER URETERAL ROCAJJ DUPLO J CURTA PERMANENCIA 6 FR X 26 CM - REF. ROJS 9626 STB	8
Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos miocutâneos	8
BUNDLE GASTROSTOMIA ENDOSCÓPICA	8
Tiroxina (T4) - pesquisa e/ou dosagem	8
Timpanotomia exploradora - unilateral	8
TC - Pescoço (partes moles, laringe, tireóide, faringe e glândulas salivares)	8
Doppler colorido de veia cava superior ou inferior	7
Fosfatase alcalina - pesquisa e/ou dosagem	7
Adenoidectomia	7
Angiografia por cateterismo superseletivo de ramo secundário ou distal - por vaso	7
Teste SARS-COV-2 (Coronavírus COVID-19), teste rápido para detecção de antígeno	7
Fratura e/ou luxações (incluindo descolamento epifisário cotovelo-punho) - tratamento cirúrgico	7
Coagulograma (TS, TC, prova do laço, retração do coágulo, contagem de plaquetas, tempo de protombina, tempo de tromboplastina, parcial ativado) - pesquisa e/ou dosagem	7
Assistência fisiátrica respiratória em doente clínico internado	7
RX - Coluna lombo-sacra - 5 incidências	7
AVASTIN - 25 MG/ML SOL INJ P/ INF IV CT FA VD INC X 16 ML  - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	7
INTRODUTOR RADIFOCUS INTRODUCER II COM GUIA METÁLICA E AGULHA - RS*R60N10MQ - TERUMO MEDICAL DO BRASIL LTDA.	7
Histerectomia total - via abdominal	7
MONITORIZAÇÃO ELETROFISIOLÓGICA DOS NERVOS DO CRANIO (INSTUTO MANIGLIA)	7
Ácido fólico, pesquisa e/ou dosagem nos eritrócitos	7
BKS III ¿ COMPONENTE TIBIAL CIMENTADO GRANDE 74 X 46 MM - REF. 2361-03-000	7
BKS III - COMPONENTE PATELAR - 3 PEGAS - DIAMETRO 26MM REF. 2360-26-000	7
EQUICEL - EQ10-020 - ASSUT EUROPE LATINO AMERICA IMPORTAÇÃO E EXPORTAÇÃO LTDA	7
BKS III - INSERTO TIBIAL EXTRA GRANDE - ESPESSURA 8,0MM - REF. 2345-10-000	7
Sinusectomia maxilar - via endonasal	7
Timpanotomia para tubo de ventilação - unilateral	7
CLIPS DE LAQUEACAO DE TITANIO - LT400 - LIGACLIP EXTRA - JOHNSON & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA	7
PCT - TURBI + ADENO-AMIGDA + TIMPANO	7
T3 livre - pesquisa e/ou dosagem	7
TROCARTES CIRÚRGICOS ENDOPATH XCEL - D12LT - JOHNSON & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA	7
RX - Cotovelo	7
PCT - TIMPANOTOMIA PARA TUBO (BONEBRIGDE)	7
RX - Escanometria	7
TC - Mandíbula	7
Homocisteína - pesquisa e/ou dosagem	7
ROCAMED ROCAWIRE PLATINUM-FIO GUIA - REF. ROWP3502ST	7
Otoemissões acústicas produto de distorção	7
Doppler colorido venoso de membro superior - unilateral	7
Doppler colorido de aorta e artérias renais	7
Punção liquórica	7
RX - Coluna lombo-sacra - 3 incidências	7
Uvulopalatofaringoplastia (qualquer técnica)	7
Sessão de psicoterapia individual	7
CURATIVO VAC GRANUFOAM SILVER COM TECNOLOGIA SENSA TRAC. - K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA	7
CARBOPLATINA - 10 MG/ML SOL INJ IV CT FA VD AMB X 15 ML  - ACCORD FARMACÊUTICA LTDA	7
TESTE RÁPIDO QUALITATIVO SARS-COV-2 ANTÍGENOS	7
ADAPTIC TOUCH® MALHA NÃO ADERENTE DE SILICONE - K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA	7
GENUXAL - 1000 MG PO SOL INJ IV CX 1 FA VD TRANS X 75 ML (REST HOSP) - BAXTER HOSPITALAR LTDA	7
Retinografia (só honorário) monocular	7
FILGRASTINE - 300 MCG/ML SOL INJ CT 01 FA VD INC X 1 ML  - BLAU FARMACÊUTICA S.A.	6
Angiotomografia venosa de pelve	6
Pterígio - exérese	6
Angiotomografia venosa de abdome superior	6
CANULA DE ACESSO URETERAL BI-FLEX EVO REF.ROUS1045ST	6
Desbridamento cirúrgico - por unidade topográfica (UT)	6
PCT - SINUSOTOMIA + ETMOIDECTOMIA + ANTROSTOMIA + TURBI + SEPTO + SINUSECTOMIA	6
US - Obstétrica 1º trimestre (endovaginal)	6
